Date: 2011-07-28
Station: K02

Time (s)      E (V/m)
77513.3447692  -0.05920555
77513.3447702  -0.05896140
77513.3447712  -0.05920555
77513.3447722  -0.05896140
77513.3447732  -0.05871725
77513.3447742  -0.05847311
77513.3447752  -0.05944969
77513.3447762  -0.05944969
77513.3447772  -0.05944969
77513.3447782  -0.05920555
77513.3447792  -0.05993799
77513.3447802  -0.06115872
77513.3447812  -0.05993799
77513.3447822  -0.05920555
77513.3447832  -0.06042628
77513.3447842  -0.05944969
77513.3447852  -0.05847311
77513.3447862  -0.05822896
77513.3447872  -0.05676408
77513.3447882  -0.05774067
77513.3447892  -0.05798481
77513.3447902  -0.05969384
77513.3447912  -0.06140287
77513.3447922  -0.06237945
77513.3447932  -0.05944969
77513.3447942  -0.05774067
77513.3447952  -0.05676408
77513.3447962  -0.05774067
77513.3447972  -0.05944969
77513.3447982  -0.05847311
77513.3447992  -0.05847311
77513.3448002  -0.05774067
77513.3448012  -0.05749652
77513.3448022  -0.05725237
77513.3448032  -0.05725237
77513.3448042  -0.05798481
77513.3448052  -0.05847311
77513.3448062  -0.06091457
77513.3448072  -0.06189116
77513.3448082  -0.06091457
77513.3448092  -0.06115872
77513.3448102  -0.05896140
77513.3448112  -0.05896140
77513.3448122  -0.05847311
77513.3448132  -0.05896140
77513.3448142  -0.06042628
77513.3448152  -0.06091457
77513.3448162  -0.06091457
77513.3448172  -0.06018213
77513.3448182  -0.05822896
77513.3448192  -0.05822896
77513.3448202  -0.05920555
77513.3448212  -0.05871725
77513.3448222  -0.06115872
77513.3448232  -0.06237945
77513.3448242  -0.06115872
77513.3448252  -0.05969384
77513.3448262  -0.05822896
77513.3448272  -0.05651993
77513.3448282  -0.05725237
77513.3448292  -0.05896140
77513.3448302  -0.06018213
77513.3448312  -0.06018213
77513.3448322  -0.05847311
77513.3448332  -0.05871725
77513.3448342  -0.05920555
77513.3448352  -0.05969384
77513.3448362  -0.05920555
77513.3448372  -0.06067043
77513.3448382  -0.06091457
77513.3448392  -0.05944969
77513.3448402  -0.05798481
77513.3448412  -0.05725237
77513.3448422  -0.05822896
77513.3448432  -0.05774067
77513.3448442  -0.06091457
77513.3448452  -0.06140287
77513.3448462  -0.05993799
77513.3448472  -0.05993799
77513.3448482  -0.05871725
77513.3448492  -0.05944969
77513.3448502  -0.05896140
77513.3448512  -0.05896140
77513.3448522  -0.05871725
77513.3448532  -0.05993799
77513.3448542  -0.06042628
77513.3448552  -0.05969384
77513.3448562  -0.05920555
77513.3448572  -0.05847311
77513.3448582  -0.05822896
77513.3448592  -0.05774067
77513.3448602  -0.05920555
77513.3448612  -0.05871725
77513.3448622  -0.05920555
77513.3448632  -0.05944969
77513.3448642  -0.05847311
77513.3448652  -0.05993799
77513.3448662  -0.05969384
77513.3448672  -0.06042628
77513.3448682  -0.06018213
77513.3448692  -0.06164701
77513.3448702  -0.06115872
77513.3448712  -0.05993799
77513.3448722  -0.05944969
77513.3448732  -0.05798481
77513.3448742  -0.05749652
77513.3448752  -0.05896140
77513.3448762  -0.05993799
77513.3448772  -0.05969384
77513.3448782  -0.05822896
77513.3448792  -0.05920555
77513.3448802  -0.05920555
77513.3448812  -0.06018213
77513.3448822  -0.05896140
77513.3448832  -0.05896140
77513.3448842  -0.05896140
77513.3448852  -0.05871725
77513.3448862  -0.06042628
77513.3448872  -0.05993799
77513.3448882  -0.06042628
77513.3448892  -0.06115872
77513.3448902  -0.06091457
77513.3448912  -0.05871725
77513.3448922  -0.05774067
77513.3448932  -0.05774067
77513.3448942  -0.05871725
77513.3448952  -0.06164701
77513.3448962  -0.05993799
77513.3448972  -0.05920555
77513.3448982  -0.05920555
77513.3448992  -0.05871725
77513.3449002  -0.05774067
77513.3449012  -0.05822896
77513.3449022  -0.05847311
77513.3449032  -0.05847311
77513.3449042  -0.05871725
77513.3449052  -0.05822896
77513.3449062  -0.05896140
77513.3449072  -0.06115872
77513.3449082  -0.06189116
77513.3449092  -0.06018213
77513.3449102  -0.05920555
77513.3449112  -0.05871725
77513.3449122  -0.05847311
77513.3449132  -0.05774067
77513.3449142  -0.05944969
77513.3449152  -0.05871725
77513.3449162  -0.05920555
77513.3449172  -0.05969384
77513.3449182  -0.06067043
77513.3449192  -0.06067043
77513.3449202  -0.05969384
77513.3449212  -0.05896140
77513.3449222  -0.05798481
77513.3449232  -0.05920555
77513.3449242  -0.05969384
77513.3449252  -0.05993799
77513.3449262  -0.05896140
77513.3449272  -0.05725237
77513.3449282  -0.05871725
77513.3449292  -0.05822896
77513.3449302  -0.05822896
77513.3449312  -0.05798481
77513.3449322  -0.05847311
77513.3449332  -0.05847311
77513.3449342  -0.05944969
77513.3449352  -0.05944969
77513.3449362  -0.05896140
77513.3449372  -0.05944969
77513.3449382  -0.06018213
77513.3449392  -0.06067043
77513.3449402  -0.05993799
77513.3449412  -0.05920555
77513.3449422  -0.05969384
77513.3449432  -0.05969384
77513.3449442  -0.05920555
77513.3449452  -0.05993799
77513.3449462  -0.05822896
77513.3449472  -0.05993799
77513.3449482  -0.06164701
77513.3449492  -0.06091457
77513.3449502  -0.05993799
77513.3449512  -0.05847311
77513.3449522  -0.05725237
77513.3449532  -0.05774067
77513.3449542  -0.05847311
77513.3449552  -0.05920555
77513.3449562  -0.05798481
77513.3449572  -0.05798481
77513.3449582  -0.05847311
77513.3449592  -0.05944969
77513.3449602  -0.05993799
77513.3449612  -0.05822896
77513.3449622  -0.05896140
77513.3449632  -0.05993799
77513.3449642  -0.05969384
77513.3449652  -0.05725237
77513.3449662  -0.05749652
77513.3449672  -0.05749652
77513.3449682  -0.05822896
77513.3449692  -0.06018213
77513.3449702  -0.06140287
77513.3449712  -0.06262360
77513.3449722  -0.05969384
77513.3449732  -0.05798481
77513.3449742  -0.05676408
77513.3449752  -0.05700823
77513.3449762  -0.05896140
77513.3449772  -0.05896140
77513.3449782  -0.05920555
77513.3449792  -0.05896140
77513.3449802  -0.05822896
77513.3449812  -0.05822896
77513.3449822  -0.05896140
77513.3449832  -0.05896140
77513.3449842  -0.05920555
77513.3449852  -0.05944969
77513.3449862  -0.06115872
77513.3449872  -0.06018213
77513.3449882  -0.05944969
77513.3449892  -0.05969384
77513.3449902  -0.06067043
77513.3449912  -0.05993799
77513.3449922  -0.06067043
77513.3449932  -0.05920555
77513.3449942  -0.05847311
77513.3449952  -0.05871725
77513.3449962  -0.05993799
77513.3449972  -0.05993799
77513.3449982  -0.06115872
77513.3449992  -0.06213531
77513.3450002  -0.06506507
77513.3450012  -0.06164701
77513.3450022  -0.05822896
77513.3450032  -0.05554335
77513.3450042  -0.05603164
77513.3450052  -0.05798481
77513.3450062  -0.05749652
77513.3450072  -0.05774067
77513.3450082  -0.05774067
77513.3450092  -0.05896140
77513.3450102  -0.05847311
77513.3450112  -0.05822896
77513.3450122  -0.05871725
77513.3450132  -0.05944969
77513.3450142  -0.06213531
77513.3450152  -0.06262360
77513.3450162  -0.05993799
77513.3450172  -0.05798481
77513.3450182  -0.05847311
77513.3450192  -0.05676408
77513.3450202  -0.05774067
77513.3450212  -0.05896140
77513.3450222  -0.06091457
77513.3450232  -0.05993799
77513.3450242  -0.05871725
77513.3450252  -0.05798481
77513.3450262  -0.05798481
77513.3450272  -0.05822896
77513.3450282  -0.05993799
77513.3450292  -0.06091457
77513.3450302  -0.05847311
77513.3450312  -0.05822896
77513.3450322  -0.05896140
77513.3450332  -0.06091457
77513.3450342  -0.06213531
77513.3450352  -0.05993799
77513.3450362  -0.05822896
77513.3450372  -0.05700823
77513.3450382  -0.05749652
77513.3450392  -0.05944969
77513.3450402  -0.05798481
77513.3450412  -0.05798481
77513.3450422  -0.05822896
77513.3450432  -0.05920555
77513.3450442  -0.05871725
77513.3450452  -0.05871725
77513.3450462  -0.05993799
77513.3450472  -0.05847311
77513.3450482  -0.05944969
77513.3450492  -0.06042628
77513.3450502  -0.05969384
77513.3450512  -0.05822896
77513.3450522  -0.05725237
77513.3450532  -0.05822896
77513.3450542  -0.05871725
77513.3450552  -0.06042628
77513.3450562  -0.06115872
77513.3450572  -0.06286775
77513.3450582  -0.06091457
77513.3450592  -0.05944969
77513.3450602  -0.05847311
77513.3450612  -0.05774067
77513.3450622  -0.05798481
77513.3450632  -0.05822896
77513.3450642  -0.05798481
77513.3450652  -0.05774067
77513.3450662  -0.05944969
77513.3450672  -0.05920555
77513.3450682  -0.05896140
77513.3450692  -0.05871725
77513.3450702  -0.05896140
77513.3450712  -0.05847311
77513.3450722  -0.05847311
77513.3450732  -0.05969384
77513.3450742  -0.05871725
77513.3450752  -0.05896140
77513.3450762  -0.06067043
77513.3450772  -0.06335604
77513.3450782  -0.06433263
77513.3450792  -0.06237945
77513.3450802  -0.05944969
77513.3450812  -0.05676408
77513.3450822  -0.05676408
77513.3450832  -0.05676408
77513.3450842  -0.05725237
77513.3450852  -0.05774067
77513.3450862  -0.05847311
77513.3450872  -0.05944969
77513.3450882  -0.05969384
77513.3450892  -0.05944969
77513.3450902  -0.05920555
77513.3450912  -0.05969384
77513.3450922  -0.05969384
77513.3450932  -0.05969384
77513.3450942  -0.05993799
77513.3450952  -0.05871725
77513.3450962  -0.05798481
77513.3450972  -0.05896140
77513.3450982  -0.05920555
77513.3450992  -0.05969384
77513.3451002  -0.05969384
77513.3451012  -0.05944969
77513.3451022  -0.05896140
77513.3451032  -0.06042628
77513.3451042  -0.06115872
77513.3451052  -0.06067043
77513.3451062  -0.05944969
77513.3451072  -0.05871725
77513.3451082  -0.05944969
77513.3451092  -0.05896140
